InsertTime,FileName,TableName,Biome,SiteType,SiteNumber,PatchNumber,PatchTreatment,Date,Sampling Time (hh:mm),chamber vol (L),Ammonium (ug N/L),Comments,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:25:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:30:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:35:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:40:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:45:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:50:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:55:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,13:00:00,11.20,-9999.000,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:41:00,11.00,0.035,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:46:00,11.00,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:51:00,11.00,0.031,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:56:00,11.00,0.036,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:01:00,11.00,0.023,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:06:00,11.00,0.051,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:11:00,11.00,0.029,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:16:00,11.00,0.018,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:41:00,10.80,0.043,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:46:00,10.80,0.028,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:51:00,10.80,0.024,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:56:00,10.80,-9999.000,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:01:00,10.80,0.026,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:06:00,10.80,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:11:00,10.80,0.025,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:16:00,10.80,0.018,It's raining,
