InsertTime,FileName,TableName,Biome,SiteType,SiteNumber,PatchNumber,PatchTreatment,Date,Sampling Time (hh:mm),chamber vol (L),Ammonium (ug N/L),Comments,v1
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:25:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:30:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:35:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:40:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:45:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:50:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,12:55:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,IN,9/24/2014 12:00:00 AM,13:00:00,11.2,-9999,"It's raining, we have lost some water of the chamber while filling it",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:41:00,11,0.035,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:46:00,11,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:51:00,11,0.031,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,12:56:00,11,0.036,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:01:00,11,0.023,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:06:00,11,0.051,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:11:00,11,0.029,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,5,OUT,9/24/2014 12:00:00 AM,13:16:00,11,0.018,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:41:00,10.8,0.043,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:46:00,10.8,0.028,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:51:00,10.8,0.024,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,12:56:00,10.8,-9999,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:01:00,10.8,0.026,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:06:00,10.8,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:11:00,10.8,0.025,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,IN,9/24/2014 12:00:00 AM,13:16:00,10.8,0.018,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,OUT,9/24/2014 12:00:00 AM,13:25:00,11,0.026,"It's raining, Motor stop @13:40, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,OUT,9/24/2014 12:00:00 AM,13:30:00,11,0.029,"It's raining, Motor stop @13:40, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,OUT,9/24/2014 12:00:00 AM,13:35:00,11,0.026,"It's raining, Motor stop @13:40, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,6,OUT,9/24/2014 12:00:00 AM,13:40:00,11,0.021,"It's raining, Motor stop @13:40, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:25:00,-9999,0.022,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:30:00,-9999,0.024,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:35:00,-9999,0.023,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:40:00,-9999,0.018,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:45:00,-9999,0.031,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:50:00,-9999,0.027,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,13:55:00,-9999,0.024,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,IN,9/24/2014 12:00:00 AM,14:00:00,-9999,0.027,"It's raining, partially uncovered at 12:07 (maybe 5% covered?)",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,16:40:00,11.4,0.019,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,16:45:00,11.4,0.019,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,16:50:00,11.4,0.016,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,16:55:00,11.4,0.018,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,17:00:00,11.4,0.018,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,17:05:00,11.4,0.023,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,17:10:00,11.4,0.018,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,7,OUT,9/24/2014 12:00:00 AM,17:15:00,11.4,0.014,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,16:40:00,11.2,0.016,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,16:45:00,11.2,0.015,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,16:50:00,11.2,0.014,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,16:55:00,11.2,0.016,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,17:00:00,11.2,0.019,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,17:05:00,11.2,0.019,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,17:10:00,11.2,0.014,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,IN,9/24/2014 12:00:00 AM,17:15:00,11.2,0.019,"It's raining, 16:28 Battery change",
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:00:00,-9999,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:05:00,-9999,0.02,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:10:00,-9999,0.019,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:15:00,-9999,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:20:00,-9999,0.023,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:25:00,-9999,0.022,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:30:00,-9999,0.021,It's raining,
2/20/2017 7:33:00 PM,AND20140924_ammuptake_patch.csv,Nutu11,AND,E,1,8,OUT,9/24/2014 12:00:00 AM,17:35:00,-9999,0.015,It's raining,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,IN,8/08/2013 0:00,11:46:00,9.1,32.155,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,IN,8/08/2013 0:00,11:49:00,9.1,37.825,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,IN,8/08/2013 0:00,11:55:00,9.1,26.453,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,IN,8/08/2013 0:00,12:05:00,9.1,30.667,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,IN,8/08/2013 0:00,12:25:00,9.1,26.539,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,OUT,8/08/2013 0:00,11:47:00,9.5,39.248,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,OUT,8/08/2013 0:00,11:50:00,9.5,39.944,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,OUT,8/08/2013 0:00,11:56:00,9.5,38.51,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,OUT,8/08/2013 0:00,12:06:00,9.5,35.403,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,1,OUT,8/08/2013 0:00,12:26:00,9.5,28.082,,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,2,IN,8/08/2013 0:00,11:48:00,9.9,34.556,volume might be 8.9,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,2,IN,8/08/2013 0:00,11:51:00,9.9,31.504,volume might be 8.9,
2/16/2015 9:40:00 AM,ARC150209_ammuptake_patch.csv,Nutu11,ARC,E,1,2,IN,8/08/2013 0:00,11:57:00,9.9,33.665,volume might be 8.9,
